2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Genmodel_ID
7,2,7,11,10,5,4,10,8,3,3,8,2,7,3,6,1,2,1,0,3414
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3419
207,540,573,555,575,397,345,201,248,4,0,0,0,0,0,0,0,0,0,0,3416
12,6,29,34,51,33,28,27,19,11,3,6,0,3,1,0,0,0,0,0,3417
311,390,166,210,57,4,2,2,4,1,0,0,0,0,0,0,0,0,0,0,3418
0,0,2,4,4,2,1,6,1,1,1,0,0,0,0,0,0,0,0,0,352
0,0,0,0,6,8,30,26,5,0,0,0,0,0,0,0,0,0,0,0,353
339,575,336,424,620,389,361,163,23,0,0,1,1,0,0,0,0,0,0,0,361
761,853,36,0,0,2793,3118,1285,0,0,0,0,0,0,0,0,0,0,0,0,362
219,336,570,931,1438,2011,2269,1462,1436,0,0,0,0,0,0,0,0,0,0,0,363
45,72,69,76,99,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364
0,0,0,0,0,0,0,0,0,0,0,0,1,3,17,19,3,0,0,0,365
0,289,2870,5418,5811,6230,6628,5693,523,0,0,0,0,0,0,0,0,0,0,0,366
0,0,0,0,1,1,14,4,2,4,0,0,0,0,0,0,0,0,0,0,367
0,0,0,0,0,0,0,5668,21758,20912,18439,21361,21435,23655,22639,22569,23664,20719,17947,6452,368
0,0,0,0,0,0,0,123,11244,11182,10710,10308,13275,13696,13198,14178,11863,8877,7393,4207,369
0,0,0,0,0,0,1226,3480,11059,12273,10385,9627,11234,10562,14649,10402,7090,7491,4281,1650,3610
0,0,0,0,0,0,0,0,0,0,713,3917,3403,4300,4120,4019,2865,1324,524,6,3612
0,0,0,0,0,0,0,161,199,525,566,965,213,152,154,1014,1327,1124,1734,79,3613
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,4818,7263,8310,7096,3614
0,0,0,0,0,0,0,0,0,371,3857,3725,3509,3619,3413,3779,3876,2241,1564,119,3615
0,0,0,0,0,0,0,0,0,3370,5823,9282,11562,14744,12819,336,2,0,0,0,3616
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,6508,8561,12073,3617
